month,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,Paid Search,19523.59,325201,10813,480,26752.55
2025-01-01,Paid Social,11489.1,465340,11999,417,30109.21
2025-01-01,Email,22396.99,543335,15464,1024,94220.94
2025-01-01,Organic,0.0,346884,10608,269,26409.55
2025-01-01,Display,17750.37,427816,3094,146,12071.58
2025-01-01,Affiliate,15858.36,407743,12936,500,45595.49
2025-02-01,Paid Search,20154.11,706997,17784,531,38653.3
2025-02-01,Paid Social,21079.9,585476,15926,423,30723.67
2025-02-01,Email,21252.96,539190,17147,828,73263.44
2025-02-01,Organic,0.0,464002,13702,598,52835.65
2025-02-01,Display,21394.57,458109,6424,265,16732.81
2025-02-01,Affiliate,16401.64,393555,9259,298,32012.39
2025-03-01,Paid Search,13670.84,566193,9183,290,25357.98
2025-03-01,Paid Social,20931.11,535347,17962,566,44184.63
2025-03-01,Email,22289.88,427043,8143,355,25278.92
2025-03-01,Organic,0.0,509659,14778,619,48647.96
2025-03-01,Display,18792.7,525070,5163,204,15314.51
2025-03-01,Affiliate,16184.73,404191,7933,316,24635.03
2025-04-01,Paid Search,18062.47,507689,15802,658,54957.95
2025-04-01,Paid Social,15883.51,440433,7130,146,9513.29
2025-04-01,Email,13013.77,497972,10786,552,57677.61
2025-04-01,Organic,0.0,407248,13505,346,28343.78
2025-04-01,Display,13249.89,409316,7319,129,11805.61
2025-04-01,Affiliate,19188.68,378702,6770,241,18570.88
2025-05-01,Paid Search,19163.38,452622,17748,578,40256.28
2025-05-01,Paid Social,18896.38,476399,17871,774,69933.27
2025-05-01,Email,25316.51,307348,7229,330,26120.44
2025-05-01,Organic,0.0,284797,9240,302,19007.25
2025-05-01,Display,12922.1,487621,8712,478,61522.39
2025-05-01,Affiliate,20072.05,331255,4331,163,11867.36
2025-06-01,Paid Search,15923.21,376548,10172,464,40533.06
2025-06-01,Paid Social,17206.83,325721,5301,159,13386.73
2025-06-01,Email,26839.65,465632,16240,812,54587.38
2025-06-01,Organic,0.0,334185,7660,431,31324.74
2025-06-01,Display,22192.45,341648,6327,245,20249.36
2025-06-01,Affiliate,17796.19,371425,11559,351,23382.19
2025-07-01,Paid Search,11610.31,470710,18382,672,55924.13
2025-07-01,Paid Social,19429.13,606720,17919,553,56181.66
2025-07-01,Email,20143.78,634290,18573,794,51195.22
2025-07-01,Organic,0.0,648111,25966,862,68315.39
2025-07-01,Display,25307.22,317154,1819,75,5931.07
2025-07-01,Affiliate,17974.39,430386,13067,641,55355.97
2025-08-01,Paid Search,21219.69,203979,5641,149,9940.95
2025-08-01,Paid Social,13609.24,409905,14105,306,26150.6
2025-08-01,Email,15579.15,410679,14381,868,91192.92
2025-08-01,Organic,0.0,431459,9978,326,28895.81
2025-08-01,Display,18882.87,319873,4041,150,18414.32
2025-08-01,Affiliate,27384.22,347610,9033,183,13933.51
2025-09-01,Paid Search,19578.03,594702,13616,387,20429.99
2025-09-01,Paid Social,17186.67,322510,7835,205,17135.14
2025-09-01,Email,9211.36,273954,11753,495,33931.37
2025-09-01,Organic,0.0,670429,32405,754,59925.1
2025-09-01,Display,19707.78,657443,3347,108,10439.29
2025-09-01,Affiliate,20173.83,404861,10956,232,18891.16
2025-10-01,Paid Search,16668.06,477860,11522,457,45787.17
2025-10-01,Paid Social,18777.15,492210,13965,488,36198.2
2025-10-01,Email,19582.47,438325,18695,1322,120021.34
2025-10-01,Organic,0.0,358433,7245,339,30151.08
2025-10-01,Display,20400.72,240649,4450,175,11960.12
2025-10-01,Affiliate,15642.38,481646,13662,438,36550.08
2025-11-01,Paid Search,16740.11,468307,17936,167,13601.69
2025-11-01,Paid Social,18882.56,485519,12330,214,19242.87
2025-11-01,Email,26636.75,265936,9054,468,39349.5
2025-11-01,Organic,0.0,323652,8304,398,37308.45
2025-11-01,Display,26661.56,591289,8912,467,42770.15
2025-11-01,Affiliate,22139.94,414411,11796,330,32948.44
2025-12-01,Paid Search,12108.48,543882,14502,677,65170.07
2025-12-01,Paid Social,27103.23,537692,9138,313,21102.43
2025-12-01,Email,15408.6,631347,20495,983,68607.74
2025-12-01,Organic,0.0,453933,8844,250,22420.04
2025-12-01,Display,23776.56,523051,1569,59,5078.75
2025-12-01,Affiliate,20069.45,643945,8730,253,23747.49
